'-38.5158956','-3.7799688','ACESSO AVENIDA ALBERTO CRAVEIRO'
'-38.5141786','-3.7781305','ACESSO BR 116'
'-38.499125','-3.8129916','ACESSO PARA AV MIN JOSE AMERICO'
'-38.5107528','-3.8131722','ACESSO SN'
'-38.5896571','-3.7021021','ACESSO VINTE DE JANEIRO'
'-38.5867494','-3.6999529','ACESSO PRESIDENTE CASTELO BRANCO'
'-38.5873981','-3.6996226','ACESSO RADIALISTA JOSE LIMA VERDE'
'-38.526914','-3.7871795','ALAMEDA 125'
'-38.5269921','-3.7875165','ALAMEDA 165'
'-38.527088','-3.787873','ALAMEDA 205'
'-38.4690816','-3.7494903','ALAMEDA AMALIA MARIA'
'-38.5563254','-3.782922','ALAMEDA AMARALINA'
'-38.5993673','-3.7100164','ALAMEDA AMOR PERFEITO'
'-38.4687022','-3.7499405','ALAMEDA ANA ELISA'
'-38.5998187','-3.7095986','ALAMEDA BEIJA FLOR'
'-38.5990749','-3.7093725','ALAMEDA BEIRA RIO'
'-38.5243504','-3.8221934','ALAMEDA BOM JESUS'
'-38.576227','-3.7912845','ALAMEDA BOREAL'
'','','ALAMEDA CARLOS ALBERTO SA'
'-38.569788','-3.787558','ALAMEDA CLARA DE ASSIS'
'-38.5247124','-3.8199885','ALAMEDA D'
'-38.6149694','-3.7980681','ALAMEDA DA PAZ'
'-38.4721609','-3.7488205','ALAMEDA DAS ACUCENAS'
'-38.4720867','-3.7486107','ALAMEDA DAS ANGELICAS'
'-38.4722066','-3.748963','ALAMEDA DAS BEGONIAS'
'-38.4722741','-3.749181','ALAMEDA DAS BENEDITAS'
'-38.4726589','-3.749382','ALAMEDA DAS BOAS NOITES'
'-38.4728229','-3.749725','ALAMEDA DAS BOGARIS'
'-38.4727505','-3.749508','ALAMEDA DAS BONINAS'
'-38.4734525','-3.7498568','ALAMEDA DAS BORBOLETAS'
'-38.4734926','-3.7499904','ALAMEDA DAS CAMELIAS'
'-38.472782','-3.7504665','ALAMEDA DAS CECILIAS'
'-38.472845','-3.75069','ALAMEDA DAS CHANANAS'
'-38.4737963','-3.750716','ALAMEDA DAS CRAVINAS'
'-38.473898','-3.751321','ALAMEDA DAS CRISADALIAS'
'-38.4740167','-3.751525','ALAMEDA DAS DALIAS'
'-38.4748285','-3.7515925','ALAMEDA DAS EXTREMOSAS'
'-38.5991254','-3.7100805','ALAMEDA DAS FLORES'
'-38.4750151','-3.7519295','ALAMEDA DAS GRACIOLAS'
'-38.4751246','-3.752136','ALAMEDA DAS HORTENCIAS'
'-38.475247','-3.752337','ALAMEDA DAS IRIS'
'-38.4713285','-3.7533765','ALAMEDA DAS MARGARIDAS'
'-38.4698279','-3.753454','ALAMEDA DAS NOVE HORAS'
'-38.4753577','-3.752529','ALAMEDA DAS ONZE HORAS'
'-38.599691','-3.7102804','ALAMEDA DAS ORQUIDEAS'
'','','ALAMEDA DAS ORQUIDIAS'
'-38.4694211','-3.7530125','ALAMEDA DAS PACAVIRAS'
'-38.4693534','-3.752792','ALAMEDA DAS PAPOULAS'
'-38.4692895','-3.7525795','ALAMEDA DAS ROSAS'
'-38.4699837','-3.7520938','ALAMEDA DAS TULIPAS'
'-38.469492','-3.7520175','ALAMEDA DAS VERBENAS'
'-38.4694735','-3.7517845','ALAMEDA DAS VIOLETAS'
'-38.4743186','-3.7507067','ALAMEDA DOS CRAVOS'
'-38.474953','-3.7507465','ALAMEDA DOS CRISANTEMOS'
'-38.4749021','-3.751727','ALAMEDA DOS GIRASSOIS'
'-38.4704876','-3.7542095','ALAMEDA DOS JASMINS'
'-38.470415','-3.7539125','ALAMEDA DOS LIRIOS'
'-38.4712866','-3.7532195','ALAMEDA DOS MIOSOTIS'
'-38.5237481','-3.820256','ALAMEDA E'
'-38.4687499','-3.7500925','ALAMEDA ELIANE LUCIA'
'-38.5248805','-3.82085','ALAMEDA F'
'-38.5238624','-3.821123','ALAMEDA G'
'-38.6023322','-3.7079139','ALAMEDA GIRASSOL'
'-38.6020296','-3.708662','ALAMEDA GIRRASOL'
'-38.5453381','-3.7880145','ALAMEDA ITALIANA'
'-38.5780189','-3.7027205','ALAMEDA JAIME AUGUSTO'
'-38.6007768','-3.7107368','ALAMEDA JASMIM'
'-38.6001379','-3.7118219','ALAMEDA LUCIVANDA MUNIZ'
'-38.555253','-3.7296825','ALAMEDA MANDACARU'
'-38.4698253','-3.7502095','ALAMEDA MARIA DA GLORIA'
'-38.4688175','-3.7503005','ALAMEDA MARIA DORALICE'
'-38.4688876','-3.750764','ALAMEDA MARIA TEREZA'
'-38.4746155','-3.829744','ALAMEDA MENINO JESUS'
'-38.4704275','-3.7505125','ALAMEDA NADJA'
'-38.5572117','-3.777287','ALAMEDA OXALA'
'-38.5582149','-3.778536','ALAMEDA OXOS'
'','','ALAMEDA POR DO SOL'
'-38.4690361','-3.7511995','ALAMEDA ROSA MARIA'
'-38.4700333','-3.7511126','ALAMEDA SANDRA MARA'
'-38.5248276','-3.8220462','ALAMEDA SANTOS DUMONT'
'-38.5552811','-3.7299185','ALAMEDA SERTANEJO'
'-38.4694096','-3.751554','ALAMEDA TELMA'
'-38.571467','-3.817758','ALAMEDA VERDE CINCO'
'-38.5729139','-3.818593','ALAMEDA VERDE DOIS'
'-38.5689445','-3.816191','ALAMEDA VERDE NOVE'
'-38.5701435','-3.817563','ALAMEDA VERDE OITO'
'-38.5725739','-3.8170585','ALAMEDA VERDE QUATRO'
'-38.5713104','-3.8172855','ALAMEDA VERDE SEIS'
'-38.5711425','-3.8167425','ALAMEDA VERDE SETE'
'-38.5727409','-3.818139','ALAMEDA VERDE TRES'
'-38.5730528','-3.819057','ALAMEDA VERDE UM'
'-38.5552316','-3.729419','ALAMEDA VITORIA'
'','','ALAMEDA WANDA CAVACANTE'
'-38.4745666','-3.829467','ALAMEDA SAO MATEUS'
'-38.5423955','-3.7379464','AVENIDA 13 DE MAIO'
'-38.5554371','-3.7690235','AVENIDA 15 DE NOVEMBRO'
'-38.5369616','-3.814531','AVENIDA 2 DE MAIO'
'-38.5507359','-3.805961','AVENIDA 2'
'-38.5374056','-3.8164965','AVENIDA 28 DE AGOSTO'
'-38.5814728','-3.8193801','AVENIDA 9'
'-38.6022335','-3.7673333','AVENIDA A'
'-38.4841013','-3.725408','AVENIDA ABOLICAO'
'-38.524574','-3.738908','AVENIDA AGUANAMBI'
'-38.5302901','-3.814595','AVENIDA ALBERTO CRAVEIRO'
'-38.4817116','-3.733077','AVENIDA ALBERTO DE SA'
'-38.523146','-3.7209915','AVENIDA ALBERTO NEPOMUCENO'
'-38.4711275','-3.7359605','AVENIDA ALBERTO SA'
'-38.486824','-3.7282225','AVENIDA ALVARO CORREIA'
'-38.5676289','-3.765153','AVENIDA AMERICO BARREIRA'
'-38.581349','-3.8301225','AVENIDA ANGELIM'
'-38.4940786','-3.727895','AVENIDA ANTONIO JUSTA'
'-38.5229563','-3.7388678','AVENIDA ANTONIO SALES'
'-38.4735208','-3.7283189','AVENIDA AREIA BRANCA'
'-38.538902','-3.814509','AVENIDA ARGENTINA P TORRES'
'-38.5373846','-3.815258','AVENIDA ARGENTINA PINHEIRO TORRES'
'-38.6224335','-3.7873895','AVENIDA ARI MAIA'
'-38.4914359','-3.7605192','AVENIDA ATILANO DE MOURA'
'-38.5864904','-3.7539996','AVENIDA AUDIZIO PINHEIRO'
'-38.5802062','-3.7814193','AVENIDA AUGUSTO DOS ANJOS'
'-38.5843424','-3.7862395','AVENIDA AUGUSTO DOS ANJOS'
'-38.5968378','-3.7250935','AVENIDA AVENIDA DA INDEPENDENCIA'
'-38.6065274','-3.7670405','AVENIDA B'
'-38.5106481','-3.746908','AVENIDA BARAO DE STUDART'
'-38.5122679','-3.7200608','AVENIDA BEIRA MAR'
'-38.4829757','-3.7229832','AVENIDA BEIRAMAR'
'-38.5502405','-3.7289935','AVENIDA BENJAMIM BARROSO'
'-38.573532','-3.8027043','AVENIDA BENJAMIM BRASIL'
'-38.5972735','-3.711805','AVENIDA BENU MARCONDES'
'-38.5587843','-3.8225159','AVENIDA BERNARDO MANOEL'
'-38.5634106','-3.837984','AVENIDA BERNARDO MANUEL'
'-38.5403624','-3.7305243','AVENIDA BEZERRA DE MENEZES'
'-38.5373781','-3.7538355','AVENIDA BORGES DE MELLO'
'-38.5384715','-3.7528134','AVENIDA BORGES DE MELO'
'-38.5005051','-3.840101','AVENIDA BR 116'
'-38.5208415','-3.8338395','AVENIDA BULEVAR 1'
'-38.5182261','-3.834127','AVENIDA BULEVAR 3'
'-38.5243506','-3.8337598','AVENIDA BULEVAR I'
'-38.5205836','-3.836635','AVENIDA BULEVAR II'
'-38.5168666','-3.833925','AVENIDA BULEVAR III'
'-38.609608','-3.763012','AVENIDA C'
'-38.5647262','-3.7855997','AVENIDA CAMBARA'
'-38.5379009','-3.7376437','AVENIDA CARAPINIMA'
'-38.5652362','-3.7649696','AVENIDA CARNEIRO DE MENDONCA'
'-38.5183939','-3.838449','AVENIDA CAROA'
'-38.5628875','-3.7102325','AVENIDA CASTELO BRANCO'
'-38.5215179','-3.835494','AVENIDA CASTELO DE CASTRO'
'-38.59178','-3.7030039','AVENIDA CEL CARVALHO'
'','','AVENIDA CENTENARIA'
'-38.5931425','-3.812668','AVENIDA CENTO E DEZ'
'-38.5937285','-3.8121055','AVENIDA CENTO E DOZE'
'-38.5928615','-3.812953','AVENIDA CENTO E NOVE'
'-38.5925645','-3.8132405','AVENIDA CENTO E OITO'
'-38.5934288','-3.8123965','AVENIDA CENTO E ONZE'
'-38.5940928','-3.8112757','AVENIDA CENTO E QUARTOZE'
'-38.5940399','-3.811786','AVENIDA CENTO E TREZE'
'-38.4716783','-3.7509996','AVENIDA CENTRAL LESTE'
'-38.4718811','-3.7500531','AVENIDA CENTRAL OESTE'
'-38.471567','-3.749729','AVENIDA CENTRAL'
'-38.465238','-3.71924','AVENIDA CESAR CALS'
'-38.5714705','-3.832911','AVENIDA CHICO MENDES'
